Success,SendDatetime,ReceivedDatetime,ResponseTime,StatusCode,CPUUsage,AuthCPUUsage,WebsocketCPUUsage,WebGatewayCPUUsage,JobCPUUsage,UserProfileCPUUsage,UserPreferenceCPUUsage,OrganizationCPUUsage,TeamCPUUsage,PlanCPUUsage,StorageCPUUsage
true,2024-12-09T02:20:09.773114582+09:00,2024-12-09T02:20:09.986962947+09:00,213,200,0.002773959951560212,0.002773959951560212,0.0045422359158127125,0.0015103145083079726,0.013212023504591188,0.007665369718935522,0.005767924219162455,0.00773679959932377,0.007897567297631428,0.007665887522901053,0.003859153858342603
true,2024-12-09T02:20:14.773040414+09:00,2024-12-09T02:20:14.869406244+09:00,96,200,0.002773959951560212,0.002773959951560212,0.0045422359158127125,0.001613869369888234,0.014145703287871644,0.007659004603535503,0.00578917749658967,0.00773679959932377,0.007911781783460782,0.0074427991283875115,0.0036192851129803003
true,2024-12-09T02:20:19.773447587+09:00,2024-12-09T02:20:19.808400822+09:00,34,200,0.002706939872545927,0.002706939872545927,0.0043092065169568405,0.0016138693698882337,0.0133920210866785,0.007188008699983286,0.005814310907984342,0.03695281562216159,0.007943879868965279,0.008242637390693936,0.0035398721676500352
true,2024-12-09T02:20:24.773467641+09:00,2024-12-09T02:20:24.794820353+09:00,21,200,0.00262724053803367,0.00262724053803367,0.004182839918313573,0.02581677419354832,0.013185916026814893,0.007005028190347571,0.005814310907984342,0.038895291378111166,0.00745470051381172,0.0077398531616543155,0.003868810312895985
true,2024-12-09T02:20:29.77339822+09:00,2024-12-09T02:20:29.793990084+09:00,20,200,0.0028553378871592774,0.0028553378871592774,0.013639480312669513,0.027921197316135713,0.012791833694379707,0.007716150001533055,0.005406762074359395,0.038895291378111166,0.0079959532487119,0.008208527055670847,0.003868810312895985
true,2024-12-09T02:20:34.773306346+09:00,2024-12-09T02:20:34.796076318+09:00,22,200,0.002947630873670577,0.002947630873670577,0.01445651818259155,0.026061878251525384,0.04278206686556918,0.007322371094977544,0.005780367561609599,0.0394765226133322,0.0079959532487119,0.008261117801586199,0.003894199639176464
true,2024-12-09T02:20:39.772784991+09:00,2024-12-09T02:20:39.794244086+09:00,21,200,0.002763804330593173,0.002763804330593173,0.013402554042454816,0.025286909908239744,0.043068036068521234,0.007700423736541529,0.005780367561609599,0.0563514447761195,0.007570774492251985,0.008223401007479716,0.003894199639176464
true,2024-12-09T02:20:44.773625451+09:00,2024-12-09T02:20:44.793392779+09:00,19,200,0.002681942070940511,0.002681942070940511,0.01300106440692829,0.06836121336680676,0.06397211102552089,0.007700423736541529,0.005488757363693228,0.0563514447761195,0.007346155111552433,0.007725020669160195,0.003686786633765031
true,2024-12-09T02:20:49.77333346+09:00,2024-12-09T02:20:49.802756017+09:00,29,200,0.0029161497626819734,0.0029161497626819734,0.024988355104045602,0.06445311673398203,0.06036049441745175,0.007758583364982824,0.00532773684791793,0.0611273975831054,0.007969384721457829,0.008177437780999013,0.0036015564180096166
true,2024-12-09T02:20:54.773031725+09:00,2024-12-09T02:20:54.793099646+09:00,20,200,0.0029161497626819734,0.0029161497626819734,0.023660507988846308,0.0941680779128423,0.08536496521216248,0.007758583364982824,0.005707284626248254,0.05658683939744774,0.007459076440656255,0.008177437780999013,0.0038744642694308025
true,2024-12-09T02:20:59.772928435+09:00,2024-12-09T02:20:59.798541748+09:00,25,200,0.0027060257814903233,0.0027060257814903233,0.030183981827150926,0.10029558760674903,0.09084767273249802,0.007336340098487646,0.005707284626248254,0.09249816864843323,0.008004050031301353,0.007792772622121152,0.0038744642694308025
true,2024-12-09T02:21:04.7734141+09:00,2024-12-09T02:21:04.794168752+09:00,20,200,0.002707198083759493,0.002707198083759493,0.030183981827150926,0.09781596812809884,0.08543209154812595,0.007120866997145706,0.005357632733815027,0.1007290804390857,0.007596267936903613,0.00756950389685956,0.0038185484618093158
